Curator	Curator's notes	Deadline	Category	Song	Nathan	Rachel	Emily	Jonathan	Tera	Erik	Nana	Goose	Kristin	Jacob	Andreina	George	Jane	Tyler	Molly	Megan	Anna W	Average
Goose	I learned what a quokka was this week (I am scared of them). In my desperate exploration for songs appropriate for this high caliber of people, I searched every word/phrase I could think of, and one such was “quokka”. Turns out he’s a good artist who makes songs titled different birds. This is my favorite of his.	4/5	Pop	Sandhill Crane - Quokka	3.0	4.0	6.0	6.0	6.0	5.0	4.0		6.0	4.5					5.0			5.0
Goose	I listen to one other song by Zaggie, and its an instrumental one that makes me jig. I was happily surprised to find a word-containing song on that same album that also makes me jig.  	4/5	Pop	Ceasar Said to Brutus - Zaggie	3.5	8.0	3.0	6.5	6.0	4.0	3.0		6.0	5.0					8.0			5.3
Goose	Raye came out with a new album this week, including Where’s my Husband. All of them are very interesting (especially the final). I was trying to decide if I go with the catchiest or the most unique or most lyrical, and I ended with this one. 	4/5	Pop	The WhatsApp Shakespeare - RAYE	5.0	2.5	8.0	6.0	2.0	7.0	4.0		6.0	6.0					1.5			4.8
Molly	This is the first dance I ever choreographed a wheelchair dance to! Introduced to it by a friend, am addicted.	4/12	Pop	The Key To Life on Earth - Declan McKenna	8.5	5.0	5.0	6.5	8.0	3.0	3.0	4.0	5.0	4.0				5.8				5.3
Molly	Originally popped up on my Discover Weekly in 2018. Loved it first for the vocals, then it took a new meaning for me after my divorce. 	4/12	Pop	Kissaphobic - Make Out Monday	4.0	4.0	2.0	2.0	6.0	2.0	6.0	4.0	5.0					3.5				3.9
Molly	Between severe family issues, becoming disabled, and other significant hardships, every achievement in my life has truly been a hard fought battle. This song reminds me of the mountain I've overcome and how much I deserve to celebrate for making it through	4/12	Pop	Superbloom - MisterWives	3.0	6.0	6.7	4.0	5.0	10.0	6.5	6.3	6.0					6.2				6.0
Kristin	I grew up listening in person to this march played at the Hollywood Bowl. This 1967 version is more like a race than a march which makes me giggle and I especially love the piccolo and cymbals. 	4/19	Not Pop	Stars and Stripes - John Philip Sousa	5.0	6.3	7.5	7.0	7.0	6.0	7.0	6.2						8.0	5.0			6.5
Kristin	I love the Olympics and spend 2 1/2 weeks every two years with my tv on watching people strive for an ultimate goal after years of dedicated training, whether it’s participating or earning a medal. This song is from the 1950’s but watching this performance in Paris France (I watched it on tv!) brought tears to my eyes as Celine achieved her own personal Olympics vocal goal of a comeback. It was powerful and moving. 	4/19	Not Pop	Hymne a l’amour - Celine Dion	3.5	7.0	4.5	4.5	5.0	3.0	7.0	3.4						2.8	4.0			4.5
Kristin	I laughed out loud when I read this title at a symphony performance I attended. Trumpet and lullaby weren’t two sounds I would normally put together and I was delighted by the music created. How often does the trumpet get to be the star? I chose this army band version because my son is in the military, has two toddlers with one more due in July and rarely gets any sleep at night. This lullaby is for him. 	4/19	Not Pop	Trumpeters lullaby - Leroy Anderson	5.5	4.5	7.0	6.0	6.9	10.0	10.0	5.6						3.0	7.0			6.6
Tyler	I wish I could put this entire album as my weekly song designation, it’s currently my favorite album right now (no bad songs imo). I feel like this song encapsulates the whole album pretty well and is one of my favorite, I really love the unique style that RAYE has. I think the collab with Hans Zimmer in a pop song is beyond cool and I love his additions in the second half (it’s so authentic to his style like Interstellar, F1, and Batman soundtracks)	4/26	Pop	Click Clack Symphony - Raye	5.7	2.0	8.0	3.5	9.0	7.0	7.5	8.0	6.0	9.0	1.0	8.0	6.5		10.0			6.5
